,age,Years_Enrolled,Qualification,family,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
147,42,10,1,1,38547.0,1,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0
148,50,11,1,1,35688.0,0,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
149,57,9,2,0,49605.0,0,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
150,70,9,2,1,59354.0,0,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
151,54,9,1,1,65747.0,0,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0
152,51,11,1,1,46344.0,1,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
153,35,9,1,0,34176.0,1,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
154,71,11,2,1,61010.0,0,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
155,74,10,1,0,69372.0,1,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1
156,65,10,1,0,49967.0,1,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
157,45,10,1,0,60199.0,1,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
158,46,10,1,1,55375.0,1,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
159,68,10,1,0,80317.0,0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0
160,65,10,2,0,30523.0,1,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
161,78,11,2,0,70356.0,1,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
162,39,9,1,1,23228.0,0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
163,48,10,2,0,74165.0,1,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
164,57,10,1,1,43482.0,0,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
165,70,10,1,0,62551.0,1,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0
166,64,10,1,0,52332.0,0,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0
167,35,10,1,0,66951.0,1,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
168,66,9,1,1,26091.0,0,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
169,58,9,1,1,33456.0,0,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
170,41,10,1,1,28718.0,0,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
171,53,9,1,1,50447.0,1,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
172,64,9,2,1,53537.0,1,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
173,56,9,1,0,52074.0,0,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0
174,48,11,2,1,80427.0,0,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
175,75,11,2,0,83837.0,0,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1
176,53,9,2,1,38853.0,0,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0
177,64,9,1,1,38285.0,0,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
178,72,10,1,0,78497.0,1,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
179,47,9,2,1,51650.0,0,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0
180,35,9,1,1,16248.0,0,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0
181,77,10,2,0,66835.0,1,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
182,39,9,2,1,30477.0,1,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0
183,62,9,0,0,28249.0,0,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0
184,40,11,1,1,25271.0,1,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
185,53,9,2,0,32303.0,0,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0
186,57,10,1,1,61286.0,1,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0
187,47,10,1,0,74068.0,1,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0
188,59,10,2,1,45759.0,1,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0
189,45,11,0,1,24882.0,0,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0
190,34,10,2,0,66973.0,0,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0
191,35,10,1,1,38872.0,0,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0
192,50,10,1,1,51148.0,1,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0
193,46,10,1,1,31353.0,1,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0
194,43,9,2,0,69661.0,0,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0
195,69,10,1,0,80067.0,0,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0
196,69,10,1,0,86718.0,1,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
197,50,9,2,0,46854.0,0,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1
198,71,9,1,0,69142.0,0,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0
199,55,10,1,0,75922.0,0,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0
200,45,10,1,0,63693.0,0,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0
201,46,11,2,0,102160.0,0,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1
202,58,10,2,0,40637.0,0,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0
203,39,11,2,0,18890.0,1,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1
204,35,10,1,1,29604.0,0,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0
205,60,10,2,0,48721.0,0,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0
206,57,9,1,1,44794.0,0,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0
207,69,11,1,0,64497.0,1,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1
208,67,10,1,1,46097.0,1,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0
209,69,9,1,0,77972.0,1,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0
210,55,11,2,1,44377.0,0,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0
211,49,10,2,1,46014.0,1,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0
212,38,10,1,0,70951.0,0,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0
213,46,9,1,1,41443.0,0,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0
214,45,9,1,0,52195.0,1,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
215,75,10,2,0,83790.0,0,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0
216,69,10,2,0,44551.0,1,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0
217,43,11,1,1,69508.0,1,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0
218,35,9,1,1,45204.0,0,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0
219,54,10,1,0,72460.0,0,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0
220,53,9,2,1,77622.0,1,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0
221,43,10,2,1,30732.0,1,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0
222,61,11,1,0,63887.0,1,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0
223,45,10,1,1,42011.0,1,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0
224,47,11,1,1,51369.0,0,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
225,71,11,1,0,51537.0,1,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0
226,51,11,2,0,79930.0,0,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0
227,37,9,2,1,34320.0,0,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0
228,57,10,1,0,37070.0,1,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1
229,61,10,1,0,81975.0,1,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0
230,52,10,1,1,38590.0,0,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0
231,72,9,1,0,15033.0,1,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0
232,58,10,2,1,62745.0,0,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0
233,48,10,1,1,22212.0,1,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0
234,41,10,2,1,23661.0,1,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0
235,65,10,2,0,79761.0,1,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0
236,50,10,1,0,7500.0,0,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0
237,55,10,1,0,73455.0,0,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0
238,65,11,1,1,64961.0,0,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0
239,52,10,1,0,22804.0,0,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0
240,33,10,1,0,73687.0,1,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1
241,65,11,1,1,61074.0,1,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0
242,59,9,2,1,31686.0,1,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
243,51,10,1,1,80134.0,1,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1
244,70,10,1,1,75027.0,0,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0
245,35,11,2,0,67546.0,0,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0
246,54,11,2,1,65176.0,0,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0
247,48,10,2,0,31160.0,0,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0
248,38,10,1,0,29938.0,0,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0
249,49,10,1,0,102692.0,1,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1
250,65,11,1,0,26490.0,0,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0
251,56,11,1,1,75702.0,0,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0
252,49,11,2,0,30899.0,1,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
253,62,11,2,1,63342.0,1,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0
254,59,11,1,0,45989.0,0,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0
255,59,10,1,0,18701.0,0,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0
