,Cluster,age,Years_Enrolled,age_divide,Recency,Income,Total_Expenses,Savings,economic_status,Qualification,togetherness,family,children,Kidhome,MntWines,Teenhome,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Ttl_Campaign,Ttl_no_Purchase,Deals_Purchase_Ratio,Store_Purchase_Ratio,Web_Purchase_Ratio,Catalogue_Purchase_Ratio,avg_web_visits,Ttl_place_purchase
16,Lowest,43,11,Young,frequent,41850.0,101,41749.0,Lower middle,Graduate,yes,yes,2,1,53,1,5,19,2,13,4,3,3,0,3,8,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,9
17,Lowest,77,11,Elderly,not frequent,37760.0,322,37438.0,Lower middle,Graduate,yes,no,0,0,84,0,5,38,150,12,28,2,4,1,6,7,no,no,no,no,no,no,no,0,13,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.5833333333333334,13
18,Lower middle,74,10,Elderly,frequent,76995.0,1862,75133.0,Upper middle,Post graduate,yes,yes,1,0,1012,1,80,498,0,16,176,2,11,4,9,5,no,no,no,yes,no,no,no,1,26,0.07692307692307693,0.34615384615384615,0.4230769230769231,0.15384615384615385,0.4166666666666667,26
19,Lowest,38,11,Young,frequent,33812.0,150,33662.0,Lower middle,Graduate,no,no,1,1,4,0,17,19,30,24,39,2,2,1,3,6,no,no,no,no,no,no,no,0,8,0.25,0.375,0.25,0.125,0.5,8
20,Lowest,41,11,Young,not frequent,37040.0,318,36722.0,Lower middle,Graduate,yes,no,0,0,86,0,2,73,69,38,48,1,4,2,5,8,no,no,no,no,no,no,no,0,12,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.6666666666666666,12
21,Highest economic class,44,10,Young,not frequent,2447.0,1731,716.0,Extremly low,Graduate,yes,yes,1,1,1,0,1,1725,1,1,1,15,0,28,0,1,no,no,no,no,no,no,no,0,43,0.3488372093023256,0.0,0.0,0.6511627906976745,0.08333333333333333,43
22,Low,74,11,Elderly,frequent,58607.0,972,57635.0,Upper middle,Post graduate,yes,yes,1,0,867,1,0,86,0,0,19,3,2,3,9,8,no,yes,no,no,no,no,no,1,17,0.17647058823529413,0.5294117647058824,0.11764705882352941,0.17647058823529413,0.6666666666666666,17
23,Highest economic class,69,9,Elderly,not frequent,65324.0,544,64780.0,Upper middle,Post graduate,yes,yes,1,0,384,1,0,102,21,32,5,3,6,2,9,4,no,no,no,no,no,no,no,0,20,0.15,0.45,0.3,0.1,0.3333333333333333,20
24,Low,72,10,Elderly,frequent,40689.0,447,40242.0,Lower middle,Graduate,yes,yes,1,0,270,1,3,27,39,6,99,7,7,1,5,8,no,no,no,no,no,no,no,0,20,0.35,0.25,0.35,0.05,0.6666666666666666,20
25,Lowest,54,10,MiddleAge,frequent,18589.0,79,18510.0,Low,Graduate,no,no,0,0,6,0,4,25,15,12,13,2,2,1,3,7,no,no,no,no,no,no,no,0,8,0.25,0.375,0.25,0.125,0.5833333333333334,8
26,Lowest,47,10,MiddleAge,not frequent,53359.0,261,53098.0,Lower middle,Graduate,yes,yes,2,1,173,1,4,30,3,6,41,4,5,1,4,7,no,no,no,no,no,no,no,0,14,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.5833333333333334,14
27,Upper middle class,37,10,Young,not frequent,51633.63813405797,638,50995.63813405797,Lower middle,Graduate,no,no,1,1,5,0,1,3,3,263,362,0,27,0,0,1,no,no,no,no,no,no,no,0,27,0.0,0.0,1.0,0.0,0.08333333333333333,27
28,Lowest,34,10,Young,not frequent,38360.0,133,38227.0,Lower middle,Graduate,yes,yes,1,1,36,0,2,42,20,21,10,2,2,1,4,3,no,no,no,no,no,no,no,0,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.25,9
29,Upper middle class,58,10,MiddleAge,frequent,84618.0,1772,82846.0,Upper middle,Post graduate,yes,no,0,0,684,0,100,801,21,66,0,1,6,9,10,2,no,no,yes,no,no,no,no,1,26,0.038461538461538464,0.38461538461538464,0.23076923076923078,0.34615384615384615,0.16666666666666666,26
30,Lowest,34,9,Young,not frequent,10979.0,34,10945.0,Low,Post graduate,no,no,0,0,8,0,4,10,2,2,4,2,3,0,3,5,no,no,no,no,no,no,no,0,8,0.25,0.375,0.375,0.0,0.4166666666666667,8
31,Highest economic class,60,10,MiddleAge,frequent,38620.0,335,38285.0,Lower middle,Post graduate,yes,no,0,0,112,0,17,44,34,22,89,1,2,5,3,3,no,no,no,no,no,no,no,0,11,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.25,11
32,Low,53,11,MiddleAge,not frequent,40548.0,120,40428.0,Lower middle,Graduate,yes,yes,1,0,110,1,0,5,2,0,3,2,2,1,4,5,no,yes,no,no,no,no,no,1,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.4166666666666667,9
33,Low,71,11,Elderly,not frequent,46610.0,314,46296.0,Lower middle,Post graduate,no,no,2,0,96,2,12,96,33,22,43,6,4,1,6,6,no,no,no,no,no,no,yes,0,17,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.5,17
34,Highest economic class,77,10,Elderly,not frequent,68657.0,1230,67427.0,Upper middle,Post graduate,yes,no,0,0,482,0,34,471,119,68,22,1,3,5,9,7,no,no,no,no,no,no,no,0,18,0.05555555555555555,0.5,0.16666666666666666,0.2777777777777778,0.5833333333333334,18
35,Lowest,72,10,Elderly,frequent,49389.0,65,49324.0,Lower middle,Post graduate,no,no,2,1,40,1,0,19,2,1,3,1,2,0,3,7,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5833333333333334,6
36,Highest economic class,53,10,MiddleAge,not frequent,67353.0,930,66423.0,Upper middle,Post graduate,yes,yes,1,0,702,1,17,151,0,8,35,5,5,6,12,2,no,no,no,no,no,no,no,0,28,0.17857142857142858,0.42857142857142855,0.17857142857142858,0.21428571428571427,0.16666666666666666,28
37,Lowest,47,10,MiddleAge,frequent,23718.0,84,23634.0,Low,Graduate,yes,yes,1,1,6,0,3,14,15,7,36,3,3,1,2,7,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.5833333333333334,9
38,Lowest,50,9,MiddleAge,frequent,42429.0,67,42362.0,Lower middle,Graduate,no,no,1,0,55,1,0,6,2,0,4,2,1,1,3,5,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.4166666666666667,7
39,Highest economic class,80,10,Elderly,frequent,48948.0,910,48038.0,Lower middle,Post graduate,no,no,0,0,437,0,8,206,160,49,42,2,7,10,5,6,yes,no,no,no,no,no,yes,1,24,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.4166666666666667,0.5,24
40,Upper middle class,43,10,Young,not frequent,80011.0,1471,78540.0,Upper middle,Graduate,yes,yes,1,0,421,1,76,536,82,178,102,2,8,6,5,4,no,no,no,no,no,no,no,0,21,0.09523809523809523,0.23809523809523808,0.38095238095238093,0.2857142857142857,0.3333333333333333,21
41,Lowest,38,10,Young,frequent,20559.0,54,20505.0,Low,Post graduate,yes,yes,1,1,13,0,1,29,3,0,7,2,2,0,3,8,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.6666666666666666,7
42,Lowest,66,11,Elderly,not frequent,21994.0,22,21972.0,Low,Graduate,yes,yes,1,0,9,1,0,6,3,1,3,1,0,0,3,5,no,no,no,no,no,no,no,0,4,0.25,0.75,0.0,0.0,0.4166666666666667,4
43,Lowest,64,10,Elderly,frequent,51633.63813405797,197,51436.63813405797,Lower middle,Post graduate,no,no,0,0,81,0,11,50,3,2,39,1,1,3,4,2,no,no,no,no,no,no,no,0,9,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.16666666666666666,9
44,Lowest,48,10,MiddleAge,not frequent,7500.0,32,7468.0,Low,Post graduate,yes,yes,1,1,3,0,1,10,3,2,12,3,2,0,3,5,no,no,no,no,no,no,no,0,8,0.375,0.375,0.25,0.0,0.4166666666666667,8
45,Upper middle class,47,9,MiddleAge,frequent,79941.0,1148,78793.0,Upper middle,Graduate,no,no,0,0,123,0,164,266,227,30,174,1,2,4,9,1,no,no,no,no,no,no,no,0,16,0.0625,0.5625,0.125,0.25,0.08333333333333333,16
46,Lowest,27,11,Young,not frequent,7500.0,140,7360.0,Low,Graduate,yes,no,0,0,3,0,18,14,15,22,50,3,3,1,3,9,no,no,no,no,no,no,yes,0,10,0.3,0.3,0.3,0.1,0.75,10
47,Lowest,55,10,MiddleAge,frequent,41728.0,61,41667.0,Lower middle,Graduate,yes,yes,1,1,13,0,6,15,3,5,13,1,2,0,2,10,no,no,no,no,no,no,no,0,5,0.2,0.4,0.4,0.0,0.8333333333333334,5
48,Lowest,72,9,Elderly,frequent,51633.63813405797,129,51504.63813405797,Lower middle,Graduate,no,no,3,2,48,1,5,48,6,10,7,3,2,1,4,6,no,no,no,no,no,no,no,0,10,0.3,0.4,0.2,0.1,0.5,10
49,Low,69,11,Elderly,not frequent,72550.0,1369,71181.0,Upper middle,Post graduate,yes,yes,2,1,826,1,50,317,50,38,38,9,5,2,12,8,no,no,no,no,no,no,no,0,28,0.32142857142857145,0.42857142857142855,0.17857142857142858,0.07142857142857142,0.6666666666666666,28
50,Highest economic class,66,9,Elderly,not frequent,65486.0,526,64960.0,Upper middle,Graduate,no,no,1,0,245,1,19,125,37,67,14,1,4,2,10,2,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.5882352941176471,0.23529411764705882,0.11764705882352941,0.16666666666666666,17
51,Upper middle class,59,11,MiddleAge,not frequent,79143.0,1730,77413.0,Upper middle,Post graduate,yes,no,0,0,650,0,37,780,27,167,32,1,6,9,13,3,no,no,no,no,no,no,no,0,29,0.034482758620689655,0.4482758620689655,0.20689655172413793,0.3103448275862069,0.25,29
52,Lowest,46,10,MiddleAge,frequent,35790.0,78,35712.0,Lower middle,Graduate,no,no,1,1,12,0,6,20,30,1,3,2,2,0,3,7,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5833333333333334,7
53,Upper middle class,46,9,MiddleAge,frequent,82582.0,1737,80845.0,Upper middle,Graduate,no,no,0,0,510,0,120,550,156,40,241,1,4,9,7,1,yes,no,no,yes,no,no,yes,2,21,0.047619047619047616,0.3333333333333333,0.19047619047619047,0.42857142857142855,0.08333333333333333,21
54,Highest economic class,45,10,Young,frequent,66373.0,615,65758.0,Upper middle,Graduate,yes,yes,2,1,328,1,9,124,12,24,109,7,4,2,10,3,no,no,no,no,no,no,no,0,23,0.30434782608695654,0.43478260869565216,0.17391304347826086,0.08695652173913043,0.25,23
55,Upper middle class,68,11,Elderly,frequent,82384.0,2008,80376.0,Upper middle,Post graduate,yes,no,0,0,984,0,51,432,180,120,190,1,3,10,13,1,no,no,yes,no,no,no,yes,1,27,0.037037037037037035,0.48148148148148145,0.1111111111111111,0.37037037037037035,0.08333333333333333,27
56,Upper middle class,57,10,MiddleAge,not frequent,70287.0,1128,69159.0,Upper middle,Graduate,no,no,0,0,295,0,35,482,121,120,40,1,5,5,10,3,no,no,no,no,no,no,yes,0,21,0.047619047619047616,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.25,21
57,Lowest,35,9,Young,not frequent,27938.0,29,27909.0,Low,Graduate,no,no,1,1,13,0,0,8,2,1,5,1,1,0,4,3,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.25,6
58,Lowest,41,10,Young,frequent,51633.63813405797,49,51584.63813405797,Lower middle,Graduate,no,no,1,1,11,0,3,22,2,2,6,2,2,0,3,6,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5,7
59,Low,55,9,MiddleAge,frequent,55954.0,518,55436.0,Lower middle,Post graduate,yes,yes,1,0,447,1,0,28,0,0,43,3,8,2,6,7,no,no,no,no,no,no,no,0,19,0.15789473684210525,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.5833333333333334,19
60,Lower middle,41,10,Young,not frequent,75777.0,1464,74313.0,Upper middle,Post graduate,no,no,0,0,712,0,26,538,69,13,80,1,3,6,11,1,no,yes,yes,no,no,no,yes,2,21,0.047619047619047616,0.5238095238095238,0.14285714285714285,0.2857142857142857,0.08333333333333333,21
61,Highest economic class,48,11,MiddleAge,not frequent,66653.0,630,66023.0,Upper middle,Graduate,yes,yes,2,1,452,1,18,102,16,18,6,4,4,2,12,3,no,no,no,no,no,no,no,0,22,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.25,22
62,Highest economic class,71,10,Elderly,not frequent,61823.0,891,60932.0,Upper middle,Graduate,no,no,1,0,523,1,7,134,37,14,169,4,8,2,10,7,no,no,no,no,no,no,no,0,24,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.5833333333333334,24
63,Highest economic class,72,10,Elderly,not frequent,67680.0,606,67074.0,Upper middle,Post graduate,no,no,1,0,546,1,0,48,0,6,6,1,7,3,8,5,no,no,no,no,no,no,no,0,19,0.05263157894736842,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.4166666666666667,19
64,Highest economic class,75,10,Elderly,not frequent,70666.0,1116,69550.0,Upper middle,Graduate,yes,no,0,0,398,0,40,367,119,122,30,1,7,4,4,4,no,no,no,no,no,no,no,0,16,0.0625,0.25,0.4375,0.25,0.3333333333333333,16
65,Lowest,52,10,MiddleAge,frequent,25721.0,37,25684.0,Low,Graduate,yes,yes,1,1,1,0,3,6,3,6,15,1,1,1,2,7,no,no,no,no,no,no,yes,0,5,0.2,0.4,0.2,0.2,0.5833333333333334,5
66,Lowest,56,9,MiddleAge,not frequent,32474.0,11,32463.0,Lower middle,Graduate,yes,yes,2,1,10,1,0,1,0,0,0,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
67,Lower middle,44,9,Young,not frequent,88194.0,1288,86906.0,High,Graduate,no,no,1,0,688,1,14,309,201,24,38,1,11,10,10,5,yes,no,no,yes,no,no,yes,2,32,0.03125,0.3125,0.34375,0.3125,0.4166666666666667,32
68,Highest economic class,65,10,Elderly,not frequent,69096.0,702,68394.0,Upper middle,Graduate,yes,yes,1,0,247,1,49,159,7,82,109,1,5,2,10,4,no,no,no,no,no,no,no,0,18,0.05555555555555555,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.3333333333333333,18
69,Highest economic class,53,10,MiddleAge,frequent,74854.0,1621,73233.0,Upper middle,Graduate,yes,yes,3,1,856,2,59,487,58,29,73,7,2,5,5,5,no,no,no,no,no,no,no,0,19,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.4166666666666667,19
70,Upper middle class,69,11,Elderly,not frequent,66991.0,1289,65702.0,Upper middle,Post graduate,yes,no,0,0,496,0,36,460,189,60,12,3,4,8,6,3,no,no,no,no,no,no,no,0,21,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.38095238095238093,0.25,21
71,Lowest,50,11,MiddleAge,not frequent,51633.63813405797,112,51521.63813405797,Lower middle,Graduate,yes,yes,1,1,25,0,3,43,17,4,17,3,3,0,3,8,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,9
72,Highest economic class,64,10,Elderly,not frequent,65031.0,970,64061.0,Upper middle,Graduate,yes,yes,1,0,258,1,107,291,84,37,86,4,10,3,13,7,no,no,no,no,no,no,no,0,30,0.13333333333333333,0.43333333333333335,0.3333333333333333,0.1,0.5833333333333334,30
73,Low,48,10,MiddleAge,frequent,60631.0,667,59964.0,Upper middle,Post graduate,yes,yes,2,1,565,1,6,65,0,6,19,5,9,2,8,7,no,yes,no,no,no,no,no,1,24,0.20833333333333334,0.3333333333333333,0.375,0.08333333333333333,0.5833333333333334,24
74,Lowest,71,9,Elderly,frequent,28332.0,75,28257.0,Low,Graduate,yes,no,0,0,14,0,10,13,4,15,9,1,2,1,4,2,no,no,no,no,no,no,no,0,8,0.125,0.5,0.25,0.125,0.16666666666666666,8
75,Lowest,46,11,MiddleAge,frequent,40246.0,14,40232.0,Lower middle,Graduate,no,no,1,1,2,0,1,6,2,1,1,1,1,0,2,6,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5,4
76,Upper middle class,51,11,MiddleAge,not frequent,75251.0,2001,73250.0,Upper middle,Post graduate,yes,no,0,0,721,0,111,925,97,18,18,1,7,6,5,5,no,no,no,no,no,no,yes,0,19,0.05263157894736842,0.2631578947368421,0.3684210526315789,0.3157894736842105,0.4166666666666667,19
77,Upper middle class,47,11,MiddleAge,not frequent,75825.0,2314,73511.0,Upper middle,Graduate,no,no,0,0,1032,0,105,779,137,105,51,0,5,8,9,4,yes,no,no,no,no,no,yes,1,22,0.0,0.4090909090909091,0.22727272727272727,0.36363636363636365,0.3333333333333333,22
78,Lowest,47,10,MiddleAge,not frequent,26326.0,18,26308.0,Low,Graduate,yes,no,0,0,1,0,0,5,0,3,9,1,0,0,3,3,no,no,no,no,no,yes,no,0,4,0.25,0.75,0.0,0.0,0.25,4
79,Low,58,10,MiddleAge,not frequent,56046.0,692,55354.0,Lower middle,Graduate,yes,no,0,0,577,0,0,64,0,0,51,2,10,1,8,8,yes,no,no,no,no,no,yes,1,21,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.047619047619047616,0.6666666666666666,21
80,Lowest,38,11,Young,frequent,29760.0,169,29591.0,Lower middle,Graduate,no,no,1,1,64,0,4,68,7,5,17,4,3,1,4,8,no,no,no,no,no,no,no,0,12,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.6666666666666666,12
81,Lowest,54,10,MiddleAge,not frequent,26304.0,17,26287.0,Low,Graduate,yes,yes,1,1,4,0,1,5,2,0,4,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
82,Lowest,50,10,MiddleAge,frequent,23559.0,84,23475.0,Low,Graduate,yes,yes,1,1,25,0,5,19,7,0,23,3,3,0,3,7,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5833333333333334,9
83,Highest economic class,60,10,MiddleAge,frequent,38620.0,335,38285.0,Lower middle,Post graduate,yes,no,0,0,112,0,17,44,34,22,89,1,2,5,3,3,no,no,no,no,no,no,no,0,11,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.25,11
84,Upper middle class,36,9,Young,not frequent,81361.0,801,80560.0,Upper middle,Graduate,no,no,0,0,163,0,23,424,27,65,76,1,3,10,13,1,no,no,no,no,no,no,no,0,27,0.037037037037037035,0.48148148148148145,0.1111111111111111,0.37037037037037035,0.08333333333333333,27
85,Lowest,63,10,MiddleAge,frequent,29440.0,64,29376.0,Lower middle,Graduate,yes,yes,2,1,17,1,8,14,10,4,3,2,1,0,4,7,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.5833333333333334,7
86,Low,53,10,MiddleAge,not frequent,36138.0,151,35987.0,Lower middle,Post graduate,yes,yes,2,1,130,1,0,16,0,0,5,5,3,1,4,7,no,yes,no,no,no,no,no,1,13,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.5833333333333334,13
87,Low,66,9,Elderly,not frequent,50388.0,378,50010.0,Lower middle,Graduate,no,no,1,0,292,1,6,37,0,3,34,4,6,1,6,7,no,yes,no,yes,no,no,yes,2,17,0.23529411764705882,0.35294117647058826,0.35294117647058826,0.058823529411764705,0.5833333333333334,17
88,Upper middle class,50,9,MiddleAge,frequent,79593.0,1426,78167.0,Upper middle,Graduate,yes,no,0,0,350,0,60,568,110,133,145,1,5,6,7,2,no,no,yes,no,no,no,no,1,19,0.05263157894736842,0.3684210526315789,0.2631578947368421,0.3157894736842105,0.16666666666666666,19
89,Lowest,56,9,MiddleAge,frequent,54178.0,203,53975.0,Lower middle,Graduate,yes,yes,1,0,135,1,9,39,4,0,7,1,2,2,5,2,no,no,no,no,no,no,no,0,10,0.1,0.5,0.2,0.2,0.16666666666666666,10
90,Low,66,11,Elderly,not frequent,51633.63813405797,645,50988.63813405797,Lower middle,Post graduate,yes,yes,3,2,230,1,42,192,49,37,53,12,7,2,8,9,no,no,no,no,no,no,no,0,29,0.41379310344827586,0.27586206896551724,0.2413793103448276,0.06896551724137931,0.75,29
91,Lowest,66,9,Elderly,not frequent,51633.63813405797,18,51615.63813405797,Lower middle,Graduate,no,no,2,1,7,1,0,8,2,0,1,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
92,Highest economic class,50,10,MiddleAge,frequent,51633.63813405797,1022,50611.63813405797,Lower middle,Post graduate,yes,no,0,0,445,0,37,359,98,28,18,1,2,4,8,1,no,no,no,no,no,no,no,0,15,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.08333333333333333,15
93,Lowest,51,9,MiddleAge,frequent,42394.0,34,42360.0,Lower middle,Post graduate,no,no,1,1,15,0,2,10,0,1,4,1,1,0,3,7,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.5833333333333334,5
94,Lowest,53,9,MiddleAge,frequent,23626.0,45,23581.0,Low,Post graduate,yes,yes,1,1,27,0,2,14,0,0,0,3,3,1,3,5,no,no,no,no,no,no,no,0,10,0.3,0.3,0.3,0.1,0.4166666666666667,10
95,Lowest,40,9,Young,not frequent,30096.0,48,30048.0,Lower middle,Graduate,yes,yes,1,1,5,0,3,11,12,5,9,1,2,0,3,6,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5,6
96,Low,63,11,MiddleAge,frequent,47916.0,606,47310.0,Lower middle,Graduate,no,no,1,0,505,1,0,26,0,0,75,5,7,4,6,6,no,yes,no,no,no,no,no,1,22,0.22727272727272727,0.2727272727272727,0.3181818181818182,0.18181818181818182,0.5,22
97,Lowest,51,10,MiddleAge,not frequent,51813.0,65,51748.0,Lower middle,Graduate,no,no,2,1,51,1,2,7,0,1,2,2,2,0,3,7,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5833333333333334,7
98,Upper middle class,72,10,Elderly,not frequent,78497.0,1004,77493.0,Upper middle,Graduate,yes,no,0,0,207,0,26,447,75,0,223,1,5,7,12,2,no,no,no,yes,no,no,no,1,25,0.04,0.48,0.2,0.28,0.16666666666666666,25
